,name,address,sido,gugun
355,발산동점,서울특별시 강서구 우장산로 9(내발산동),서울특별시,강서구
356,방배본점,서울특별시 서초구 동광로11길 25. 1층(방배동),서울특별시,서초구
357,방어진점,울산광역시 동구 화문로 75,울산광역시,동구
358,방이2점,"서울특별시 송파구 오금로23길 25, 나동 1층 (방이동)",서울특별시,송파구
359,방화1점,서울특별시 강서구 양천로11길 8(방화동 487-8 1층),서울특별시,강서구
360,방화2점,"서울특별시 강서구 방화동로 116-1(방화동, 1층)",서울특별시,강서구
361,배시내점,경상북도 김천시 감문면 배시내길14,경상북도,김천시
362,백련시장점,서울특별시 서대문구 증가로 135(남가좌동),서울특별시,서대문구
363,백사점,경기도 이천시 백사면 현방로 78-2,경기도,이천시
364,백암점,경상북도 울진군 온정면 소태로 3,경상북도,울진군
365,백양사점,전라남도 장성군 북하면 백양로 904,전라남도,장성군
366,백천점,경상북도 경산시 백천동 경청로219길 4-6 108호 ,경상북도,경산시
367,백학점,경기도 연천군 백학면 백두길 69-4,경기도,연천군
368,번동점,서울특별시 강북구 오현로32길 4-3 1층 5호,서울특별시,강북구
369,범서점,울산광역시 울주군 범서읍 점촌5길 37,울산광역시,울주군
370,범어점,경상남도 양산시 물금읍 동중5길22,경상남도,양산시
371,범어B점,대구광역시 수성구 동대구로77길 24,대구광역시,수성구
372,법1동점,대전광역시 대덕구 계족로 663번길 30,대전광역시,대덕구
373,법2동점,대전광역시 대덕구 계족산로17번길 81,대전광역시,대덕구
374,법원점,경상북도 포항시북구 장량중앙로 84,경상북도,포항시북구
375,별내점,경기도 남양주시 별내중앙로26 111호,경기도,남양주시
376,병영점,울산광역시 중구 병영로 80,울산광역시,중구
377,병점점,경기도 화성시 병점로 58(병점동),경기도,화성시
378,병천점,충청남도 천안시동남구 병천면 아우내장터2길 46,충청남도,천안시동남구
379,보개점,경기도 안성시 보개면 남사당로 1-3,경기도,안성시
380,보광2점,"서울특별시 용산구 장문로6길 101, 지상1층(동빙고동 1-9)",서울특별시,용산구
381,보라매동점,서울특별시 관악구 보라매로 22 (봉천동),서울특별시,관악구
382,보라점,경기도 용인시기흥구 사은로 116,경기도,용인시기흥구
383,보령웅천점,충청남도 보령시 웅천읍 충서로 872,충청남도,보령시
384,보은점,충청북도 보은군 보은읍 삼산로 31,충청북도,보은군
385,복대점,충청북도 청주시흥덕구 복대로 199번길 3,충청북도,청주시흥덕구
386,복수점,대전광역시 서구 복수북로 61,대전광역시,서구
387,본리점,대구광역시 달서구 대명천로42길 26,대구광역시,달서구
388,본오2점,경기도 안산시상록구 각골로 123,경기도,안산시상록구
389,본오3점,경기도 안산시상록구 본오로 27,경기도,안산시상록구
390,봉곡점,경상북도 구미시 봉곡남로9길 35,경상북도,구미시
391,봉담와우리점,경기도 화성시 봉담읍 와우로15번길 55-9 효성@상가1층,경기도,화성시
392,봉담점,경기도 화성시 봉담읍 진등1길 57-1,경기도,화성시
393,봉덕2점,대구광역시 남구 대봉로 35,대구광역시,남구
394,봉산점,강원도 원주시 치악로 1867 (봉산동),강원도,원주시
395,봉암리점,경기도 양주시 은현면 은현로 521,경기도,양주시
396,봉천현대점,"서울특별시 관악구 양녕로 35-1, 1층(봉천동)",서울특별시,관악구
397,봉평점,강원도 평창군  봉평면 기풍3길 28,강원도,평창군
398,봉화점,경상북도 봉화군 봉화읍 내성리 236-17,경상북도,봉화군
399,부강점,세종특별자치시  부강면 부강2길 11,세종특별자치시,부강면
400,부개주공점,"인천광역시 부평구 부개로 79, (부개동,부개택지개발1블럭)",인천광역시,부평구
401,부곡점(안산),"경기도 안산시상록구 성호로 258, 안산제2종합시장 1003호",경기도,안산시상록구
402,부곡점(의왕),경기도 의왕시 솔밭길 31,경기도,의왕시
403,부론점,강원도 원주시 부론면 법천시장길 66-11,강원도,원주시
404,부발점,경기도 이천시 부발읍 무촌로 137,경기도,이천시
405,부산송정점,부산광역시 해운대구 송정중앙로 15-1,부산광역시,해운대구
406,부산신평점,부산광역시 사하구 다대로142번길 130(신평동),부산광역시,사하구
407,부산지사, ,,
408,부석점,경상북도 영주시 부석면 소천리 381-7,경상북도,영주시
409,부송점,전라북도 익산시 부송1로 65,전라북도,익산시
410,부안점,강원도 춘천시 후석로 261(후평동),강원도,춘천시
411,부여점,충청남도 부여군 부여읍 성왕로 173번길 12,충청남도,부여군
412,부평점,"인천광역시 부평구 부평문화로115 7, 1층(부평동)",인천광역시,부평구
413,북가좌1점,"서울특별시 서대문구 증가로20길 71, 1층(북가좌동)",서울특별시,서대문구
414,북가좌2점,서울특별시 서대문구 거북골로 148(북가좌동),서울특별시,서대문구
415,북문점,경기도 수원시장안구 팔달로259번길 9,경기도,수원시장안구
416,북변점,"경기도 김포시 봉화로182번길 29, 113호",경기도,김포시
417,북부점(경주),경상북도 경주시 북성로 96,경상북도,경주시
418,북부점(포항),경상북도 포항시북구 삼호로 239,경상북도,포항시북구
419,북삼점,경상북도 칠곡군 북삼읍 평원2길 15,경상북도,칠곡군
420,북평점,강원도 동해시  대동로 131(북평동),강원도,동해시
421,분당동점,경기도 성남시분당구 수내로 201,경기도,성남시분당구
422,분평동점,충청북도 청주시서원구 청남로 2005번길 27,충청북도,청주시서원구
423,불광동점,서울특별시 은평구 불광로 192,서울특별시,은평구
424,불노지구점,"인천광역시 서구 검단로 842, 중앙상가동 1층 153호",인천광역시,서구
425,불당점,충청남도 천안시서북구 불당5길 23,충청남도,천안시서북구
426,불로점,대구광역시 동구 팔공로 184,대구광역시,동구
427,비래가양점,대전광역시 동구 비래서로 42번길 7,대전광역시,동구
428,비산1동점,"경기도 안양시동안구 경수대로 946, 111호 (비산동, 대광로제비앙)",경기도,안양시동안구
429,비산삼호점,경기도 안양시동안구 동안로 259,경기도,안양시동안구
430,비산점,대구광역시 서구 문화로 61길 2,대구광역시,서구
431,비산B점,대구광역시 서구 통학로48길 35,대구광역시,서구
432,비인점,충청남도 서천군 비인면 비인로 158-1,충청남도,서천군
433,사당4점,서울특별시 동작구 동작대로7길 34,서울특별시,동작구
434,사동2점,"경기도 안산시상록구 감골로 43(사동, 102호)",경기도,안산시상록구
435,사동리점,경기도 이천시 대월면 사동로 162,경기도,이천시
436,사동점,경기도 안산시상록구 후곡4길 25,경기도,안산시상록구
437,사북점,강원도 정선군  사북읍 사북중앙로 13,강원도,정선군
438,사우동점,강원도 춘천시 영서로 2818(사농동),강원도,춘천시
439,사우지구점,경기도 김포시 김포대로926번길 131,경기도,김포시
440,사직점,부산광역시 동래구 석사북로33 ,부산광역시,동래구
441,사창동점,충청북도 청주시서원구 1순환로 698(사창동),충청북도,청주시서원구
442,사창리점,강원도 화천군  사내면 사내로 47-1,강원도,화천군
443,산격점,대구광역시 북구 산격로 92,대구광역시,북구
444,산본13점,"경기도 군포시 고산로677번길 12 우성상가A동 8,9호",경기도,군포시
445,산본3점,"경기도 군포시 광정로 25-16. 103호(금정동,퇴계종합상가)",경기도,군포시
446,산본6점,"경기도 군포시 산본천로 34-5(산본동, 세종종합상가동101호)",경기도,군포시
447,산본9점,"경기도 군포시 수리산로203번안길 34 , 1층(산본동)",경기도,군포시
448,산본리점,"경기도 군포시 금산로 62, 1층 (산본동)",경기도,군포시
449,산북점,경기도 여주시 산북면 상품로 99,경기도,여주시
450,삼계점,경상남도 김해시 가야로147번길 12-1 ,경상남도,김해시
451,삼광점,강원도 원주시 행구로 107,강원도,원주시
452,삼동점,경기도 광주시 순암로 509(삼동),경기도,광주시
453,삼방점,경상남도 김해시 삼안로235번길 14(삼방동668-17),경상남도,김해시
454,삼산점,인천광역시 부평구 후정동로 15,인천광역시,부평구
455,삼성동점,"서울특별시 강남구 영동대로112길 61, 1층(삼성동)",서울특별시,강남구
456,삼송점,경기도 고양시덕양구 삼송로193번길  29   1층,경기도,고양시덕양구
457,삼양동점,서울특별시 강북구 솔매로 39 (미아동),서울특별시,강북구
458,삼환대우점,"인천광역시 연수구 원인재로 124, 상가동 1층 116호",인천광역시,연수구
459,삽교점,충청남도 예산군 삽교읍 삽교로2길 2,충청남도,예산군
